"","site","period","Model","Bias_adjust","TX","GWL","prob_occ","prop_change"
"1","lowl","g1g2","CMIP6",FALSE,35,1,0.025252525257335,1
"2","lowl","g1g2","CMIP6",FALSE,35,1.5,0.0299873737430853,1.1875
"3","lowl","g1g2","CMIP6",FALSE,35,2,0.0363005050574191,1.4375
"4","lowl","g1g2","CMIP6",FALSE,35,3,0.0536616161718369,2.125
"5","lowl","g1g2","CMIP6",FALSE,35,4,0.0694444444576712,2.75
"6","lowl","g1g2","CMIP6",FALSE,40,1,3.18100540143414e-09,1
"7","lowl","g1g2","CMIP6",FALSE,40,1.5,6.36201080286828e-09,2
"8","lowl","g1g2","CMIP6",FALSE,40,2,1.27240216057366e-08,4
"9","lowl","g1g2","CMIP6",FALSE,40,3,2.2267037810039e-08,7
"10","lowl","g1g2","CMIP6",FALSE,40,4,3.81720648172097e-08,12
"11","lowl","g1g2","CMIP6",TRUE,35,1,0.025252525257335,1
"12","lowl","g1g2","CMIP6",TRUE,35,1.5,0.0336700336764467,1.33333333333333
"13","lowl","g1g2","CMIP6",TRUE,35,2,0.0420875420955583,1.66666666666667
"14","lowl","g1g2","CMIP6",TRUE,35,3,0.060606060617604,2.4
"15","lowl","g1g2","CMIP6",TRUE,35,4,0.080808080823472,3.2
"16","lowl","g1g2","CMIP6",TRUE,40,1,3.18100540143414e-09,1
"17","lowl","g1g2","CMIP6",TRUE,40,1.5,4.77150810215121e-09,1.5
"18","lowl","g1g2","CMIP6",TRUE,40,2,7.95251350358535e-09,2.5
"19","lowl","g1g2","CMIP6",TRUE,40,3,1.27240216057366e-08,4
"20","lowl","g1g2","CMIP6",TRUE,40,4,1.90860324086048e-08,6
"21","lowl","g1g2","CORDEX Europe",FALSE,35,1,0.025252525257335,1
"22","lowl","g1g2","CORDEX Europe",FALSE,35,1.5,0.0315656565716688,1.25
"23","lowl","g1g2","CORDEX Europe",FALSE,35,2,0.0399831649907804,1.58333333333333
"24","lowl","g1g2","CORDEX Europe",FALSE,35,3,0.0568181818290038,2.25
"25","lowl","g1g2","CORDEX Europe",FALSE,35,4,0.0736531986672271,2.91666666666667
"26","lowl","g1g2","CORDEX Europe",FALSE,40,1,3.18100540143414e-09,1
"27","lowl","g1g2","CORDEX Europe",FALSE,40,1.5,6.36201080286828e-09,2
"28","lowl","g1g2","CORDEX Europe",FALSE,40,2,6.36201080286828e-09,2
"29","lowl","g1g2","CORDEX Europe",FALSE,40,3,1.90860324086048e-08,6
"30","lowl","g1g2","CORDEX Europe",FALSE,40,4,2.54480432114731e-08,8
"31","lowl","g1g2","CORDEX Europe",TRUE,35,1,0.025252525257335,1
"32","lowl","g1g2","CORDEX Europe",TRUE,35,1.5,0.030303030308802,1.2
