"","X","ta","time","alive","tmax","data","mort","tmax_group","sensor"
"1",1,18.5,1380,99.8327667485139,35.008021649889,"2017-06-06",0.167233251486053,"35",6
"2",2,19.5,1380,99.9203255666394,32.9850436946256,"2017-06-10",0.0796744333606227,"non-extreme",6
"3",3,19.5,1380,99.6476485770128,36.0959523169497,"2017-06-11",0.352351422987226,"35",6
"4",4,20.5,1380,99.9333940060356,32.0007175873637,"2017-06-12",0.0666059939643731,"non-extreme",6
"5",5,20.5,1380,99.5866925993938,35.94832285578,"2017-06-13",0.413307400606229,"35",6
"6",6,24,1380,99.3747689153615,36.9576064869002,"2017-06-15",0.625231084638472,"35",6
"7",7,26,1380,98.6692483056502,38.0400776824269,"2017-06-16",1.3307516943498,"35",6
"8",8,19.5,1380,97.683800193277,39.1501560980346,"2017-06-18",2.31619980672305,"35",6
"9",9,22,1380,99.276628553904,36.4277289518262,"2017-06-24",0.723371446095953,"35",6
"10",10,22,1380,99.9788182496295,28.1053567660785,"2017-06-25",0.0211817503705021,"non-extreme",6
"11",11,19.5,1380,99.9572012893222,30.9999389220678,"2017-07-08",0.0427987106777721,"non-extreme",6
"12",12,21,1380,99.6542215106803,35.5553543818467,"2017-07-10",0.345778489319741,"35",6
"13",13,22.5,1380,99.5678872046561,35.5156801797376,"2017-07-13",0.432112795343883,"35",6
"14",14,25.5,1380,99.8081601039891,32.641791656664,"2017-07-15",0.191839896010862,"non-extreme",6
"15",15,22,1380,99.8000501970697,33.5555719311342,"2017-07-22",0.199949802930277,"non-extreme",6
"16",16,19,1380,99.4633456351891,35.513703879292,"2017-07-23",0.536654364810857,"35",6
"17",17,21.5,1380,99.9717369780058,29.5112483772091,"2017-07-25",0.0282630219941638,"non-extreme",6
"18",18,21.5,1380,99.497040209154,35.3301550745964,"2017-07-28",0.50295979084602,"35",6
"19",19,23,1380,99.6288564108588,35.0469843522895,"2017-07-29",0.371143589141241,"35",6
"20",20,22,1380,99.6871654326947,35.1538192377732,"2017-08-01",0.312834567305345,"35",6
"21",21,22.5,1380,99.2527503483432,37.0308104177171,"2017-08-02",0.747249651656801,"35",6
"22",22,22.5,1380,98.8040843975929,36.9673535444648,"2017-08-03",1.19591560240706,"35",6
"23",23,23.5,1380,85.1580423308756,41.0849893571568,"2017-08-04",14.8419576691244,"40",6
"24",24,24.5,1380,89.8815905823961,40.5897403692883,"2017-08-05",10.1184094176039,"40",6
"25",25,24,1380,98.8951225797027,37.4801385795305,"2017-08-06",1.10487742029733,"35",6
"26",26,18,1380,99.3828555533328,36.0839612616629,"2017-08-10",0.617144446667183,"35",6
"27",27,18.5,1380,99.2215584822349,36.8460018066612,"2017-08-12",0.778441517765145,"35",6
"28",28,19.5,1380,99.5626356352294,35.6732000348897,"2017-08-13",0.437364364770588,"35",6
"29",29,21.5,1380,99.776901006119,33.8976145185451,"2017-08-15",0.223098993881024,"non-extreme",6
"30",30,21,1380,95.6802856949092,39.0191265342471,"2017-08-17",4.31971430509077,"35",6
"31",31,23.5,1380,98.7370535330154,36.3205688197084,"2017-08-18",1.26294646698459,"35",6
"32",32,22.5,1380,99.7343706954343,34.5021329920143,"2017-08-19",0.265629304565735,"non-extreme",6
"33",33,21,1380,99.561775254219,34.3179809168393,"2017-08-20",0.438224745781028,"non-extreme",6
"34",34,17,1380,97.177581301122,38.1099414008948,"2017-08-21",2.82241869887804,"35",6
