"","unique_id","experiment","total_cycle","Treatment","PtoA","LtoP","Egg_period","Larval_period","Egg_laying"
"1",2,"spring",NA,20,FALSE,FALSE,NA,5,"2015-05-17T00:00:00Z"
"2",3,"spring",NA,20,FALSE,FALSE,NA,8,"2015-05-18T00:00:00Z"
"3",4,"spring",NA,20,FALSE,FALSE,NA,8,"2015-05-18T00:00:00Z"
"4",5,"spring",NA,25,FALSE,FALSE,NA,6,"2015-05-16T00:00:00Z"
"5",6,"spring",NA,25,FALSE,FALSE,NA,6,"2015-05-16T00:00:00Z"
"6",7,"spring",NA,25,FALSE,FALSE,NA,5,"2015-05-16T00:00:00Z"
"7",8,"spring",NA,25,FALSE,FALSE,NA,5,"2015-05-16T00:00:00Z"
"8",14,"spring",NA,20,FALSE,FALSE,NA,6,"2015-05-16T00:00:00Z"
"9",15,"spring",35,20,TRUE,TRUE,4,21,"2015-05-23T00:00:00Z"
"10",16,"spring",33,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"11",17,"spring",34,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"12",18,"spring",34,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"13",19,"spring",34,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"14",20,"spring",18,20,FALSE,FALSE,4,14,"2015-05-23T00:00:00Z"
"15",21,"spring",33,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"16",22,"spring",37,20,TRUE,TRUE,4,23,"2015-05-23T00:00:00Z"
"17",23,"spring",9,20,FALSE,FALSE,4,5,"2015-05-23T00:00:00Z"
"18",24,"spring",33,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"19",25,"spring",33,20,TRUE,TRUE,4,20,"2015-05-23T00:00:00Z"
"20",26,"spring",NA,20,FALSE,FALSE,NA,2,"2015-05-23T00:00:00Z"
"21",28,"spring",32,20,FALSE,TRUE,2,19,"2015-06-11T00:00:00Z"
"22",29,"spring",35,20,TRUE,TRUE,4,18,"2015-06-11T00:00:00Z"
"23",30,"spring",34,20,FALSE,TRUE,2,22,"2015-06-11T00:00:00Z"
"24",31,"spring",27,25,TRUE,TRUE,3,18,"2015-06-11T00:00:00Z"
"25",32,"spring",27,25,TRUE,TRUE,3,15,"2015-06-11T00:00:00Z"
"26",33,"spring",28,25,FALSE,FALSE,3,25,"2015-06-11T00:00:00Z"
"27",34,"spring",25,25,TRUE,TRUE,3,15,"2015-06-11T00:00:00Z"
"28",35,"spring",24,25,TRUE,TRUE,3,13,"2015-06-11T00:00:00Z"
"29",36,"spring",6,25,FALSE,FALSE,3,3,"2015-06-11T00:00:00Z"
"30",37,"spring",6,20,FALSE,FALSE,2,4,"2015-06-11T00:00:00Z"
"31",38,"spring",30,20,FALSE,FALSE,2,28,"2015-06-11T00:00:00Z"
"32",40,"spring",31,20,TRUE,TRUE,2,20,"2015-06-11T00:00:00Z"
"33",42,"spring",32,20,FALSE,TRUE,2,20,"2015-06-11T00:00:00Z"
"34",43,"spring",4,25,FALSE,FALSE,3,1,"2015-06-11T00:00:00Z"
"35",48,"spring",41,20,FALSE,TRUE,3,27,"2015-06-11T00:00:00Z"
"36",49,"spring",33,20,TRUE,TRUE,3,22,"2015-06-11T00:00:00Z"
"37",50,"spring",34,20,FALSE,FALSE,3,31,"2015-06-11T00:00:00Z"
"38",51,"spring",28,25,FALSE,FALSE,2,26,"2015-06-11T00:00:00Z"
"39",52,"spring",39,20,FALSE,FALSE,3,36,"2015-06-11T00:00:00Z"
"40",53,"spring",32,20,TRUE,TRUE,2,25,"2015-06-11T00:00:00Z"
"41",54,"spring",32,20,TRUE,TRUE,2,26,"2015-06-11T00:00:00Z"
"42",62,"spring",27,25,TRUE,TRUE,2,16,"2015-06-11T00:00:00Z"
"43",68,"spring",34,20,TRUE,TRUE,2,24,"2015-06-11T00:00:00Z"
"44",69,"spring",29,20,TRUE,TRUE,2,21,"2015-06-11T00:00:00Z"
"45",70,"spring",36,20,TRUE,TRUE,1,26,"2015-06-11T00:00:00Z"
"46",71,"spring",31,20,TRUE,TRUE,2,21,"2015-06-11T00:00:00Z"
"47",72,"spring",NA,20,FALSE,TRUE,2,22,"2015-06-11T00:00:00Z"
"48",73,"spring",27,25,TRUE,TRUE,2,16,"2015-06-11T00:00:00Z"
"49",74,"spring",9,20,FALSE,FALSE,2,7,"2015-06-11T00:00:00Z"
"50",75,"spring",23,25,FALSE,FALSE,2,21,"2015-06-11T00:00:00Z"
"51",76,"spring",27,25,TRUE,TRUE,2,16,"2015-06-11T00:00:00Z"
"52",77,"spring",26,25,FALSE,FALSE,2,24,"2015-06-11T00:00:00Z"
"53",78,"spring",23,25,TRUE,TRUE,2,14,"2015-06-11T00:00:00Z"
"54",79,"spring",27,25,TRUE,TRUE,2,16,"2015-06-11T00:00:00Z"
"55",80,"spring",31,25,TRUE,TRUE,2,19,"2015-06-11T00:00:00Z"
"56",83,"spring",21,25,FALSE,FALSE,3,18,"2015-06-11T00:00:00Z"
"57",84,"spring",6,25,FALSE,FALSE,2,4,"2015-06-11T00:00:00Z"
"58",85,"spring",29,25,TRUE,TRUE,2,18,"2015-06-11T00:00:00Z"
"59",86,"spring",23,25,FALSE,FALSE,2,21,"2015-06-11T00:00:00Z"
"60",87,"spring",31,20,TRUE,TRUE,2,21,"2015-06-11T00:00:00Z"
"61",88,"spring",37,20,FALSE,TRUE,2,24,"2015-06-11T00:00:00Z"
"62",89,"spring",8,20,FALSE,FALSE,2,6,"2015-06-11T00:00:00Z"
"63",91,"spring",11,20,FALSE,FALSE,2,9,"2015-06-11T00:00:00Z"
"64",92,"spring",35,20,TRUE,TRUE,3,22,"2015-06-11T00:00:00Z"
"65",93,"spring",9,20,FALSE,FALSE,2,7,"2015-06-11T00:00:00Z"
"66",94,"spring",24,25,TRUE,TRUE,2,15,"2015-06-11T00:00:00Z"
"67",95,"spring",17,25,FALSE,FALSE,1,16,"2015-06-11T00:00:00Z"
"68",96,"spring",26,25,FALSE,FALSE,2,24,"2015-06-11T00:00:00Z"
"69",97,"spring",24,25,TRUE,TRUE,2,15,"2015-06-11T00:00:00Z"
"70",98,"spring",23,25,FALSE,FALSE,2,21,"2015-06-11T00:00:00Z"
"71",99,"spring",26,25,TRUE,TRUE,2,16,"2015-06-11T00:00:00Z"
"72",107,"spring",4,20,FALSE,FALSE,3,1,"2015-06-11T00:00:00Z"
