article_fig,article,fig,id,cum_eggs,ci95,n,day,se_cum,sd,sd2n,eggs_past,sd2n_past,daily_eggs,se,mean_temp,peak_temp,light,dvt,mat_system,others,origin,sqrt_daily_eggs,sqrt_ci95,sqrt_se,ci95_upp,ci95_low,se_from_ci,treat
friberg2015_fig2a,friberg2015,fig2a,napi_day1,4.284630609233897,3.9739465256036546,50,1,2.027523737552885,14.336757838403388,4.11085250634042,0,0,4.284630609233897,2.027523737552885,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day2,8.826283781352366,4.541653172118451,50,2,2.31716998577472,16.384866101032404,5.369276742975217,4.284630609233897,4.11085250634042,4.541653172118469,3.078981852709697,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day3,18.477296772104083,3.9739465256036723,50,3,2.0275237375528943,14.336757838403456,4.110852506340459,8.826283781352366,5.369276742975217,9.651012990751717,3.078981852709703,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day4,26.992896469826206,6.244773111662894,50,4,3.1861087304402522,22.529190888919643,10.151288842187597,18.477296772104083,4.110852506340459,8.515599697722124,3.776525036131504,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day5,35.50849616754832,8.515599697722116,50,5,4.344693723327611,30.721623939435833,18.87636354952234,26.992896469826206,10.151288842187597,8.515599697722116,5.387731655503078,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day6,44.59180251178526,11.921839576810967,50,6,6.082571212658657,43.01027351521018,36.99767255706381,35.50849616754832,18.87636354952234,9.083306344236938,7.4748937187485245,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
friberg2015_fig2a,friberg2015,fig2a,napi_day7,49.701162330418526,15.328079455899811,50,7,7.8204487019897,55.29892309098451,61.15941790045239,44.59180251178526,36.99767255706381,5.109359818633266,9.907426025841232,18.333333333333336,25,16L:8D,direct,mono,5hostplants,stockholm,NA,NA,NA,NA,NA,NA,20
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day1,NA,NA,NA,1,NA,NA,NA,NA,NA,2.92646651635616,1.4052660342646626,23,23,20L:4D,direct,mono,young,stockholm,1.710691823899372,0.8050314465408808,0.41073032986779634,6.328863573434601,0.8202207191171248,1.4052660342646623,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day2,NA,NA,NA,2,NA,NA,NA,NA,NA,11.36410743245917,2.942275759241636,23,23,20L:4D,direct,mono,young,stockholm,3.3710691823899386,0.8553459119496858,0.43640097548453355,17.862584549661815,6.328863573434601,2.942275759241636,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day3,NA,NA,NA,3,NA,NA,NA,NA,NA,14.050710019382148,3.7527577780845314,23,23,20L:4D,direct,mono,young,stockholm,3.7484276729559753,0.9811320754716975,0.5005775895263762,22.36873541394723,7.657924923855867,3.752757778084532,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day5,NA,NA,NA,5,NA,NA,NA,NA,NA,9.574937700249203,3.177347834826352,23,23,20L:4D,direct,mono,young,stockholm,3.09433962264151,1.0062893081761017,0.5134129123347458,16.81515762825839,4.35995411573909,3.177347834826352,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day4,NA,NA,NA,4,NA,NA,NA,NA,NA,10.047703809184767,3.25484412348065,23,23,20L:4D,direct,mono,young,stockholm,3.1698113207547176,1.0062893081761008,0.5134129123347453,17.439816462956376,4.680827498912229,3.2548441234806496,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day6,NA,NA,NA,6,NA,NA,NA,NA,NA,5.013092836517546,2.126627321155115,23,23,20L:4D,direct,mono,young,stockholm,2.2389937106918247,0.9308176100628929,0.4749069439096392,10.047703809184767,1.7113247102567173,2.126627321155115,25
larsdotter2010_fig3,larsdotter2010,fig3,young_direct_day7,NA,NA,NA,7,NA,NA,NA,NA,NA,7.797792808828766,2.8673626802091468,23,23,20L:4D,direct,mono,young,stockholm,2.7924528301886795,1.0062893081761017,0.5134129123347458,14.430441833788231,3.1903801273683765,2.8673626802091468,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day1,NA,NA,NA,1,NA,NA,NA,NA,NA,20.052371346070178,3.448584845116406,23,23,20L:4D,diap,mono,young,stockholm,4.477987421383649,0.7547169811320762,0.3850596842510593,27.381195364107448,13.862742771251138,3.4485848451164056,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day2,NA,NA,NA,2,NA,NA,NA,NA,NA,33.47968830346901,4.604571150876394,23,23,20L:4D,diap,mono,young,stockholm,5.786163522012579,0.7798742138364778,0.3978950070594275,43.11285154859381,25.062932637158347,4.604571150876393,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day3,NA,NA,NA,3,NA,NA,NA,NA,NA,24.065503737985054,4.407601417213378,23,23,20L:4D,diap,mono,young,stockholm,4.905660377358491,0.8805031446540879,0.44923629829290196,33.47968830346901,16.20189074799257,4.407601417213377,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day4,NA,NA,NA,4,NA,NA,NA,NA,NA,20.505517977928104,4.068555154350812,23,23,20L:4D,diap,mono,young,stockholm,4.5283018867924545,0.8805031446540879,0.44923629829290196,29.255171868201433,13.30643566314625,4.068555154350812,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day5,NA,NA,NA,5,NA,NA,NA,NA,NA,19.382144693643454,4.2945859962591895,23,23,20L:4D,diap,mono,young,stockholm,4.402515723270441,0.9559748427672954,0.48774226671800786,28.713421146315422,11.878644040979399,4.2945859962591895,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day6,NA,NA,NA,6,NA,NA,NA,NA,NA,10.047703809184767,3.0107308142196043,23,23,20L:4D,diap,mono,young,stockholm,3.1698113207547176,0.9308176100628942,0.4749069439096399,16.81515762825839,5.013092836517541,3.0107308142196048,25
larsdotter2010_fig3,larsdotter2010,fig3,young_diap_day7,NA,NA,NA,7,NA,NA,NA,NA,NA,7.111111111111115,2.601292089162709,23,23,20L:4D,diap,mono,young,stockholm,2.6666666666666674,0.9559748427672954,0.48774226671800786,13.12353150587398,2.92646651635616,2.601292089162709,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day7,NA,NA,NA,7,NA,NA,NA,NA,NA,5.59218385348681,1.5783410789259327,23,23,20L:4D,diap,mono,old,stockholm,2.364779874213837,0.6540880503144648,0.3337183930175841,9.113563545745816,2.92646651635616,1.5783410789259327,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day7,NA,NA,NA,7,NA,NA,NA,NA,NA,8.812309639650337,2.0575264637716923,23,23,20L:4D,direct,mono,old,stockholm,2.968553459119498,0.6792452830188664,0.3465537158259523,13.306435663146233,5.2409319251612,2.057526463771692,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day6,NA,NA,NA,6,NA,NA,NA,NA,NA,7.111111111111115,1.5744662644932188,23,23,20L:4D,diap,mono,old,stockholm,2.6666666666666674,0.5786163522012577,0.29521242459247843,10.531861872552513,4.359954115739097,1.5744662644932186,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day6,NA,NA,NA,6,NA,NA,NA,NA,NA,10.047703809184767,2.1970197833494383,23,23,20L:4D,direct,mono,old,stockholm,3.1698113207547176,0.6792452830188678,0.34655371582595296,14.815236739053047,6.202919188323251,2.1970197833494374,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day5,NA,NA,NA,5,NA,NA,NA,NA,NA,9.888849333491564,2.0181325170390947,23,23,20L:4D,diap,mono,old,stockholm,3.144654088050316,0.6289308176100632,0.3208830702092159,14.239943040227853,6.328863573434601,2.018132517039095,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day5,NA,NA,NA,5,NA,NA,NA,NA,NA,11.195126775048454,2.40496815790515,23,23,20L:4D,direct,mono,old,stockholm,3.3459119496855343,0.7044025157232716,0.35938903863432226,16.40504726869982,6.977572089711633,2.4049681579051505,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day4,NA,NA,NA,4,NA,NA,NA,NA,NA,13.862742771251147,2.5806264121882294,23,23,20L:4D,diap,mono,old,stockholm,3.7232704402515737,0.6792452830188678,0.34655371582595296,19.38214469364346,9.2660891578656,2.58062641218823,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day4,NA,NA,NA,4,NA,NA,NA,NA,NA,17.862584549661815,2.929359711132581,23,23,20L:4D,direct,mono,old,stockholm,4.226415094339624,0.6792452830188669,0.3465537158259525,24.065503737985054,12.582413670345339,2.92935971113258,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day3,NA,NA,NA,3,NA,NA,NA,NA,NA,14.23994304022785,2.3248886596290386,23,23,20L:4D,diap,mono,old,stockholm,3.7735849056603787,0.6037735849056611,0.3080477474008475,19.161267354930605,10.047703809184767,2.32488865962904,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day3,NA,NA,NA,3,NA,NA,NA,NA,NA,20.733989952929093,2.922255884672611,23,23,20L:4D,direct,mono,old,stockholm,4.553459119496857,0.6289308176100636,0.32088307020921614,26.857165460227073,15.401922392310437,2.922255884672611,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day2,NA,NA,NA,2,NA,NA,NA,NA,NA,18.5062299750801,2.539940860644728,23,23,20L:4D,diap,mono,old,stockholm,4.30188679245283,0.5786163522012595,0.29521242459247937,23.819310944978458,13.862742771251124,2.539940860644728,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day2,NA,NA,NA,2,NA,NA,NA,NA,NA,17.2303310786757,2.6639349224916087,23,23,20L:4D,direct,mono,old,stockholm,4.150943396226417,0.6289308176100641,0.32088307020921636,22.84719750009891,12.404572603931811,2.6639349224916073,25
larsdotter2010_fig3,larsdotter2010,fig3,old_diap_day1,NA,NA,NA,1,NA,NA,NA,NA,NA,24.811676753293003,2.557377525591934,23,23,20L:4D,diap,mono,old,stockholm,4.9811320754717,0.5031446540880493,0.2567064561673721,30.077291246390576,20.052371346070196,2.5573775255919338,25
larsdotter2010_fig3,larsdotter2010,fig3,old_direct_day1,NA,NA,NA,1,NA,NA,NA,NA,NA,22.36873541394723,2.7924496011766426,23,23,20L:4D,direct,mono,old,stockholm,4.729559748427673,0.578616352201256,0.29521242459247754,28.176733515288138,17.2303310786757,2.792449601176642,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day1,2.3999999999999986,3.999999999999993,12,1,2.0408163265306087,7.069595132934181,4.164931278633888,0,0,2.3999999999999986,2.0408163265306087,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day2,20,3.999999999999993,12,2,2.0408163265306087,7.069595132934181,4.164931278633888,2.3999999999999986,4.164931278633888,17.6,2.8861501272920256,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day3,29.60000000000001,9.600000000000009,12,3,4.897959183673474,16.96702831904208,23.99000416493132,20,4.164931278633888,9.600000000000009,5.306122448979594,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day4,48.000000000000014,13.599999999999994,12,4,6.938775510204079,24.036623451976244,48.14660558100786,29.60000000000001,23.99000416493132,18.400000000000006,8.4933273659938,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day5,57.60000000000001,15.999999999999986,12,5,8.163265306122442,28.278380531736747,66.63890045814232,48.000000000000014,48.14660558100786,9.599999999999994,10.713799794617696,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day6,86.4,15.999999999999986,12,6,8.163265306122442,28.278380531736747,66.63890045814232,57.60000000000001,66.63890045814232,28.799999999999997,11.544600509168113,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day7,116.80000000000004,16.80000000000001,12,7,8.571428571428577,29.692299558323626,73.46938775510212,86.4,66.63890045814232,30.400000000000034,11.836734693877549,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day8,132.8,16.80000000000001,12,8,8.571428571428577,29.692299558323626,73.46938775510212,116.80000000000004,73.46938775510212,15.999999999999972,12.121830534626536,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day9,142.4,14.399999999999977,12,9,7.346938775510193,25.450542478563055,53.97750937109521,132.8,73.46938775510212,9.599999999999994,11.289238110970878,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day10,144.8,13.600000000000051,12,10,6.938775510204108,24.036623451976347,48.14660558100828,142.4,53.97750937109521,2.4000000000000057,10.10564767603262,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day11,144.8,15.200000000000017,12,11,7.755102040816335,26.86446150514996,60.14160766347368,144.8,48.14660558100828,0,10.40616227263836,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day12,144.8,13.600000000000051,12,12,6.938775510204108,24.036623451976347,48.14660558100828,144.8,60.14160766347368,0,10.40616227263836,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,hmr_day13,146.4,14.400000000000063,12,13,7.346938775510236,25.450542478563204,53.977509371095834,144.8,48.14660558100828,1.5999999999999943,10.105647676032651,24.166666666666664,30,10L:20D,NA,poly,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
valimaki2006_fig1,valimaki2006,fig1,lmr_day1,2.3999999999999986,0,12,1,0,0,0,0,0,2.3999999999999986,0,24.166666666666664,30,10L:20D,NA,mono,artifical_selection,stockholm,NA,NA,NA,NA,NA,NA,25
